    page-url        price    
http://item.taobao.com/item.htm?spm=a2106.m895.1000384.d16.08uL4M&id=17384395941&scm=1029.newlist-0.1.50011131&ppath=&sku=      79.00  
http://item.taobao.com/item.htm?spm=a2106.m895.1000384.d118.08uL4M&id=22962948753&scm=1029.newlist-0.1.50011131&ppath=&sku=      100.00  
http://item.taobao.com/item.htm?spm=a2106.m897.1000384.d16.mOAA1J&id=19791919174&scm=1029.newlist-0.1.50072690&ppath=&sku=      3680.00  
http://item.taobao.com/item.htm?spm=a2106.m897.1000384.d181.mOAA1J&id=22817880809&scm=1029.newlist-0.1.50072690&ppath=&sku=      478.00  
http://item.taobao.com/item.htm?id=21616396824&ali_refid=a3_420961_1006:1103192864:6::aad48d024e32b22477996f1bceff8197&ali_trackid=1_aad48d024e32b22477996f1bceff8197      2508.00 - 3038.00  
http://item.taobao.com/item.htm?spm=1020.3.9.56.ZzEAdt&id=14824874574      2338.00 - 3288.00  
http://item.taobao.com/item.htm?spm=5133.117242.a2107.1.KadhvC&id=7387507059      18.90 - 23.90  
http://item.taobao.com/item.htm?spm=5133.117242.a2107.48.KadhvC&id=23637896624      30.00  
http://detail.tmall.com/item.htm?spm=a2106.m869.1000384.d13.w1IGSW&id=9527092570&source=dou&scm=1029.newlist-0.1.50010537&ppath=&sku=    -1
http://item.taobao.com/item.htm?spm=a2106.m869.1000384.d19.w1IGSW&id=16168654078&scm=1029.newlist-0.1.50010537&ppath=&sku=      29.80  
